date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-09-01,38.5,35.9,43.9,35.42,342241.67,1344930.20799,0.0,0.0,1.0
2026-09-02,31.12,32.08,33.78,30.98,247345.23,790092.09641,0.0,0.0,1.0
2026-09-03,31.58,29.98,33.38,29.88,203508.15,639455.73713,0.0,0.0,1.0
2026-09-04,29.6,27.45,30.06,27.37,181302.85,519964.67467,0.0,0.0,1.0
2026-09-07,27.45,27.67,29.33,26.91,150394.29,420857.7579,0.0,0.0,1.0
2026-09-08,27.6,27.0,27.65,26.36,127314.06,344002.05271,0.0,0.0,1.0
2026-09-09,26.8,26.22,27.08,25.75,112171.06,295810.24035,0.0,0.0,1.0
2026-09-10,26.0,25.79,26.42,25.62,76861.2,198869.12203,0.0,0.0,1.0
2026-09-11,25.4,24.63,25.55,24.26,76754.04,189947.84064,0.0,0.0,1.0
2026-09-14,24.23,25.27,25.57,24.23,72933.69,183093.7651,0.0,0.0,1.0
2026-09-15,25.14,24.89,25.8,24.88,63392.11,160167.97628,0.0,0.0,1.0
2026-09-16,24.58,26.26,26.38,24.58,102430.12,263975.77037,0.0,0.0,1.0
2026-09-17,26.01,25.65,26.82,25.36,84861.21,220016.31626,0.0,0.0,1.0
2026-09-18,25.66,27.93,28.49,25.66,163427.7,444022.49661,0.0,0.0,1.0
2026-09-21,27.56,27.91,28.39,27.56,118444.2,330736.11759,0.0,0.0,1.0
2026-09-22,28.01,27.5,28.99,27.32,102635.77,288024.99177,0.0,0.0,1.0
