date,open,close,high,low,volume,money,factor,turnover_free,turnover
2021-05-10,12.15,11.88,12.21,11.81,130685.7,156080.464,1.0,0.0,
2021-05-11,11.88,11.82,11.95,11.51,138488.9,161715.602,1.0,0.0,
2021-05-12,11.81,11.92,12.0,11.67,90645.48,107671.314,1.0,0.0,
2021-05-13,11.8,11.87,11.98,11.67,77097.35,90903.188,1.0,0.0,
2021-05-14,11.8,12.08,12.14,11.71,140911.83,168380.846,1.0,0.0,
2021-05-17,12.1,12.05,12.2,11.87,110440.78,133154.987,1.0,0.0,
2021-05-18,12.04,12.05,12.14,11.99,67071.72,80943.735,1.0,0.0,
2021-05-19,12.04,12.5,12.65,11.99,188467.87,234593.533,1.0,0.0,
2021-05-20,12.58,12.4,13.13,12.32,245418.47,311751.673,1.0,0.0,
2021-05-21,12.5,12.28,12.59,12.2,93019.0,114939.947,1.0,0.0,
2021-05-24,12.28,12.13,12.3,12.06,77787.64,94360.634,1.0,0.0,
2021-05-25,12.13,12.16,12.24,12.06,93953.1,114021.456,1.0,0.0,
2021-05-26,12.2,12.23,12.45,12.14,89119.0,109390.627,1.0,0.0,
2021-05-27,12.3,12.18,12.32,12.11,80792.99,98546.365,1.0,0.0,
2021-05-28,12.1,11.91,12.17,11.84,131337.52,157256.495,1.0,0.0,
2021-05-31,11.9,12.03,12.05,11.7,78220.28,93232.24,1.0,0.0,
2021-06-01,12.05,12.03,12.05,11.85,61256.69,73317.813,1.0,0.0,
2021-06-02,12.03,11.96,12.2,11.95,84807.69,102265.8,1.0,0.0,
2021-06-03,11.95,11.84,12.03,11.84,71269.8,84794.618,1.0,0.0,
2021-06-04,11.79,11.86,11.99,11.7,57018.77,67578.804,1.0,0.0,
2021-06-07,11.94,11.73,11.98,11.7,78760.49,92643.398,1.0,0.0,
2021-06-08,11.71,11.55,11.73,11.51,75794.94,87750.926,1.0,0.0,
2021-06-09,11.55,11.51,11.73,11.44,70636.29,81687.313,1.0,0.0,
2021-06-10,11.55,11.47,11.59,11.42,77850.14,89376.76,1.0,0.0,
2021-06-11,11.48,11.55,11.85,11.48,106387.0,123772.471,1.0,0.0,
2021-06-15,11.55,11.16,11.59,11.16,107815.75,121731.338,1.0,0.0,
2021-06-16,11.12,10.7,11.17,10.68,105429.56,114706.966,1.0,0.0,
2021-06-17,10.7,10.92,11.19,10.62,99231.9,108662.293,1.0,0.0,
2021-06-18,10.94,10.63,10.95,10.47,139823.38,148192.696,1.0,0.0,
2021-06-21,10.64,10.79,10.84,10.55,75911.04,81310.582,1.0,0.0,
2021-06-22,10.88,10.85,11.1,10.79,93271.85,102026.078,1.0,0.0,
2021-06-23,10.85,10.82,10.92,10.62,68620.92,73914.366,1.0,0.0,
2021-06-24,10.8,10.73,10.99,10.7,67133.06,72801.222,1.0,0.0,
2021-06-25,10.71,10.94,11.15,10.69,123744.76,135934.385,1.0,0.0,
2021-06-28,10.96,10.89,11.01,10.78,63597.42,69149.067,1.0,0.0,
2021-06-29,10.93,10.78,10.98,10.75,67174.6,72859.503,1.0,0.0,
2021-06-30,10.72,10.71,10.83,10.65,46361.0,49638.649,1.0,0.0,
2021-07-01,10.73,10.52,10.76,10.51,55994.01,59335.992,1.0,0.0,
2021-07-02,10.51,10.21,10.54,10.15,81589.91,83775.145,1.0,0.0,
2021-07-05,10.18,10.29,10.33,10.05,66545.5,67964.355,1.0,0.0,
2021-07-06,10.28,10.68,10.77,10.17,131328.82,138712.552,1.0,0.0,
2021-07-07,10.7,10.73,10.95,10.62,88516.47,95056.44,1.0,0.0,
