date,open,close,high,low,volume,money,factor,turnover,turnover_free
2021-05-10,42.21,42.48,43.01,41.58,2672.01,11311.06,1.0,,0.0
2021-05-11,42.73,42.02,42.73,41.7,1890.34,7955.019,1.0,,0.0
2021-05-12,42.07,42.18,42.29,41.2,1948.02,8131.717,1.0,,0.0
2021-05-13,42.14,42.69,43.48,41.9,1801.76,7707.561,1.0,,0.0
2021-05-14,42.69,43.49,43.69,42.69,1629.29,7052.358,1.0,,0.0
2021-05-17,43.1,42.3,43.47,42.27,2129.66,9117.167,1.0,,0.0
2021-05-18,42.1,42.53,42.58,41.7,1652.85,6955.9,1.0,,0.0
2021-05-19,42.52,43.33,43.58,42.52,1891.83,8171.479,1.0,,0.0
2021-05-20,43.19,43.07,43.32,42.5,1626.27,6978.286,1.0,,0.0
2021-05-21,43.07,44.12,45.35,42.96,2597.07,11469.893,1.0,,0.0
2021-05-24,44.0,45.25,45.66,43.66,3193.34,14292.948,1.0,,0.0
2021-05-25,44.94,44.94,45.43,44.6,2216.02,9986.021,1.0,,0.0
2021-05-26,45.3,46.61,47.8,44.94,4137.12,19372.653,1.0,,0.0
2021-05-27,46.05,46.95,47.24,46.05,2770.37,12883.87,1.0,,0.0
2021-05-28,46.87,45.48,47.55,45.36,2631.67,12174.652,1.0,,0.0
2021-05-31,45.48,47.19,47.49,44.93,2878.1,13397.989,1.0,,0.0
2021-06-01,47.0,48.9,49.29,47.0,4055.12,19658.358,1.0,,0.0
2021-06-02,48.8,48.58,49.68,48.07,2590.02,12651.776,1.0,,0.0
2021-06-03,49.42,48.38,49.68,48.09,1818.23,8842.414,1.0,,0.0
2021-06-04,47.71,47.56,48.88,46.98,2581.92,12305.611,1.0,,0.0
2021-06-07,47.05,48.13,48.58,47.05,1548.51,7408.52,1.0,,0.0
2021-06-08,47.12,46.58,47.76,46.34,1246.87,5856.977,1.0,,0.0
2021-06-09,46.95,46.65,47.28,45.85,969.24,4513.531,1.0,,0.0
2021-06-10,46.08,47.0,47.0,45.87,984.1,4574.366,1.0,,0.0
2021-06-11,47.3,46.6,48.74,46.31,3129.39,14997.403,1.0,,0.0
2021-06-15,46.11,45.9,46.12,44.6,2114.09,9588.223,1.0,,0.0
2021-06-16,45.7,45.21,46.45,44.88,1045.5,4731.947,1.0,,0.0
2021-06-17,45.3,46.24,46.65,44.9,1432.09,6521.667,1.0,,0.0
2021-06-18,45.98,47.41,47.58,45.9,1566.52,7352.909,1.0,,0.0
2021-06-21,47.77,47.68,48.48,47.17,1582.19,7580.29,1.0,,0.0
2021-06-22,48.38,47.0,48.38,46.9,1783.21,8479.128,1.0,,0.0
2021-06-23,46.6,46.62,47.68,46.02,1896.03,8837.551,1.0,,0.0
2021-06-24,47.28,46.2,47.28,45.16,2209.27,10087.565,1.0,,0.0
2021-06-25,45.91,45.94,46.15,45.22,963.05,4395.093,1.0,,0.0
2021-06-28,45.53,46.38,46.85,45.28,1603.36,7429.635,1.0,,0.0
2021-06-29,46.3,51.75,51.79,46.0,8072.0,40072.629,1.0,,0.0
2021-06-30,50.22,51.68,54.6,50.22,6494.08,34075.568,1.0,,0.0
2021-07-01,53.0,51.04,53.0,49.78,8077.39,41231.892,1.0,,0.0
2021-07-02,50.8,49.3,50.92,48.7,2850.12,14055.977,1.0,,0.0
2021-07-05,49.5,50.24,50.54,49.5,1594.37,7993.753,1.0,,0.0
2021-07-06,50.58,47.75,51.0,47.1,5113.98,24690.861,1.0,,0.0
2021-07-07,47.3,49.65,50.5,47.3,3289.21,16340.144,1.0,,0.0
2021-07-08,49.64,48.83,50.92,48.71,2131.78,10496.936,1.0,,0.0
2021-07-09,48.11,50.1,50.55,47.8,2675.68,13229.256,1.0,,0.0
2021-07-12,50.59,50.1,50.7,49.19,2545.23,12706.73,1.0,,0.0
2021-07-13,50.0,49.62,50.31,48.84,1455.39,7184.866,1.0,,0.0
2021-07-14,49.65,48.77,49.65,48.66,1340.7,6556.821,1.0,,0.0
2021-07-15,48.8,48.33,49.1,47.77,1392.44,6709.369,1.0,,0.0
2021-07-16,48.2,48.8,48.92,48.14,886.24,4311.474,1.0,,0.0
2021-07-19,48.88,50.35,50.9,48.38,2656.69,13108.026,1.0,,0.0
2021-07-20,50.2,50.36,51.79,49.52,2120.42,10710.481,1.0,,0.0
2021-07-21,50.68,50.38,50.98,49.63,2558.89,12846.206,1.0,,0.0
2021-07-22,50.85,52.1,52.38,50.02,3686.14,18858.894,1.0,,0.0
2021-07-23,52.1,50.12,53.0,49.69,3459.53,17615.26,1.0,,0.0
2021-07-26,50.3,48.8,50.44,47.65,2495.35,12218.318,1.0,,0.0
2021-07-27,49.63,49.82,52.36,48.8,4286.91,21956.916,1.0,,0.0
2021-07-28,49.32,48.46,50.25,46.82,2893.74,14087.877,1.0,,0.0
2021-07-29,48.95,49.66,51.0,48.05,3120.54,15476.657,1.0,,0.0
2021-07-30,49.6,50.86,52.16,49.6,4641.18,23631.947,1.0,,0.0
2021-08-02,51.07,53.7,53.8,50.6,6287.88,33108.778,1.0,,0.0
2021-08-03,54.5,53.4,57.7,53.1,7945.68,43985.763,1.0,,0.0
2021-08-04,53.36,54.96,55.21,52.22,7495.21,40365.217,1.0,,0.0
2021-08-05,54.91,54.25,56.32,53.93,4328.72,23756.27,1.0,,0.0
2021-08-06,53.7,54.04,54.7,53.03,3161.55,17006.36,1.0,,0.0
2021-08-09,54.0,55.86,56.6,52.46,3909.11,21707.744,1.0,,0.0
2021-08-10,56.0,58.34,58.68,55.84,5120.46,29403.889,1.0,,0.0
2021-08-11,57.6,57.59,58.75,56.92,2852.66,16448.588,1.0,,0.0
2021-08-12,57.57,58.06,59.02,56.85,2751.59,15965.825,1.0,,0.0
2021-08-13,58.06,57.07,58.5,57.02,2409.23,13878.397,1.0,,0.0
