date,open,close,high,low,volume,money,turnover,factor,turnover_free
2026-08-19,20.88,24.75,33.5,20.85,311341.52,809985.81317,0.0,1.0,0.0
2026-08-20,18.0,17.33,19.86,17.33,182991.92,330126.53345,12.0321,1.0,56.6217
2026-08-21,15.8,15.62,16.48,15.15,136716.66,215257.40397,8.9894,1.0,42.3031
2026-08-24,15.3,14.96,15.88,14.65,90040.82,136895.83139,5.9204,1.0,27.8606
2026-08-25,14.76,15.05,15.55,14.72,72122.34,109281.77527,4.7422,1.0,22.3162
2026-08-26,15.19,14.69,15.19,14.54,56491.29,83418.97887,3.7144,1.0,17.4796
2026-08-27,14.6,14.67,14.98,14.48,56519.59,82773.98935,3.7163,1.0,17.4884
2026-08-28,14.74,14.78,15.44,14.65,61962.25,93033.07231,4.0742,1.0,19.1725
2026-08-31,14.54,14.25,14.59,14.16,58565.37,83787.75503,3.8508,1.0,18.1214
2026-09-01,14.19,14.1,14.38,13.86,48755.66,68483.15188,3.2058,1.0,15.0861
2026-09-02,14.05,14.53,14.99,13.95,79514.57,115845.97929,5.2283,1.0,24.6036
2026-09-03,14.4,13.93,14.4,13.91,47204.77,66424.88663,3.1038,1.0,14.6062
2026-09-04,13.9,13.64,14.14,13.6,41879.49,58256.38117,2.7537,1.0,12.9584
2026-09-07,13.56,13.64,13.72,13.38,29911.0,40527.42479,1.9667,1.0,9.2551
2026-09-08,13.65,13.46,13.75,13.41,26258.7,35393.78017,1.7266,1.0,8.125
2026-09-09,13.5,13.08,13.58,13.01,33314.62,44162.20781,2.1905,1.0,10.3083
2026-09-10,13.1,12.84,13.38,12.77,29080.19,37898.62129,1.9121,1.0,8.998
2026-09-11,12.71,12.63,12.93,12.5,23539.4,29771.94698,1.5478,1.0,7.2836
2026-09-14,12.62,12.72,12.95,12.55,21273.67,27165.15725,1.3988,1.0,6.5825
2026-09-15,12.76,12.4,12.77,12.39,19735.2,24793.32678,1.2976,1.0,6.1065
2026-09-16,12.42,12.37,12.48,12.2,16433.28,20258.60187,1.0805,1.0,5.0848
2026-09-17,12.36,12.27,12.47,12.2,20019.63,24641.61866,1.3163,1.0,6.1945
2026-09-18,12.33,12.87,13.24,12.33,54342.58,69880.9023,3.5731,1.0,16.8148
2026-09-21,12.85,12.97,13.27,12.73,38112.42,49720.39308,2.506,1.0,11.7928
