date,open,close,high,low,volume,money,factor
2026-06-26,0.33,0.35,0.43,0.32,261970.79,9356.01737,1.0
2026-06-29,0.33,0.32,0.33,0.32,80312.0,2581.787,1.0
2026-06-30,0.31,0.35,0.35,0.3,161089.07,5241.64323,1.0
2026-07-01,0.34,0.35,0.36,0.34,108522.86,3791.05397,1.0
2026-07-03,0.36,0.36,0.36,0.35,50896.6,1817.5867,1.0
2026-07-06,0.36,0.35,0.36,0.33,69786.1,2408.3724,1.0
2026-07-07,0.34,0.33,0.34,0.32,54650.07,1798.69964,1.0
2026-07-08,0.33,0.34,0.34,0.32,34529.51,1141.39853,1.0
2026-07-09,0.34,0.34,0.36,0.33,44965.5,1547.824,1.0
2026-07-10,0.34,0.35,0.36,0.34,53508.4,1852.9889,1.0
2026-07-14,0.38,0.4,0.41,0.37,87995.2,3446.8826,1.0
2026-07-15,0.39,0.38,0.4,0.38,64364.0,2513.4024,1.0
2026-07-16,0.38,0.37,0.39,0.37,99121.94,3762.64888,1.0
